idx1,idx2,similarity,nama_1,nama_2,final_score,predicted_label,budget_diff,kl_diff,satker_diff,lokasi_diff
676,1287,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.8353643966547193,0,0,0
676,1288,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.6983556561655033,0,0,0
676,677,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.9345626611331196,0,0,0
677,1287,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.60253227408143,0,0,0
677,1288,1.0,Belanja Perjalanan Dinas Biasa (UPT Saddang),Belanja Perjalanan Dinas Biasa (UPT Saddang),1.0,mirip,0.783064591780365,0,0,0
680,1083,1.0,Belanja Perjalanan Dinas Biasa - UPTD II,Belanja Perjalanan Dinas Biasa - UPTD II,1.0,mirip,0.8588574725908829,0,0,0
680,712,1.0,Belanja Perjalanan Dinas Biasa - UPTD II,Belanja Perjalanan Dinas Biasa - UPTD II,1.0,mirip,0.8356030005770341,0,0,0
681,1031,1.0,Belanja Perjalanan Dinas Biasa - UPTD V,Belanja Perjalanan Dinas Biasa - UPTD V,1.0,mirip,0.7439551010828427,0,0,0
681,830,1.0,Belanja Perjalanan Dinas Biasa - UPTD V,Belanja Perjalanan Dinas Biasa - UPTD V,1.0,mirip,0.6978993391107172,0,0,0
714,715,1.0,Belanja Perjalanan Dinas Biasa (UPT Walcen),Belanja Perjalanan Dinas Biasa (UPT Walcen),1.0,mirip,0.8491332084980926,0,0,0
715,836,1.0,Belanja Perjalanan Dinas Biasa (UPT Walcen),Belanja Perjalanan Dinas Biasa (UPT Walcen),1.0,mirip,0.8845008416418491,0,0,0
715,884,1.0,Belanja Perjalanan Dinas Biasa (UPT Walcen),Belanja Perjalanan Dinas Biasa (UPT Walcen),1.0,mirip,0.834192820645624,0,0,0
715,883,1.0,Belanja Perjalanan Dinas Biasa (UPT Walcen),Belanja Perjalanan Dinas Biasa (UPT Walcen),1.0,mirip,0.907485383320551,0,0,0
716,715,1.0,Belanja Perjalanan Dinas Biasa (UPT Walcen),Belanja Perjalanan Dinas Biasa (UPT Walcen),1.0,mirip,0.8651941254394964,0,0,0
717,886,1.0,Belanja Perjalanan Dinas Biasa (UPT larona),Belanja Perjalanan Dinas Biasa (UPT Larona),1.0,mirip,0.6256047742936692,0,0,0
717,885,1.0,Belanja Perjalanan Dinas Biasa (UPT larona),Belanja Perjalanan Dinas Biasa (UPT Larona),1.0,mirip,0.5927130403030718,0,0,0
753,1333,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.798169443792537,0,0,0
753,1222,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.9069771466645898,0,0,0
753,931,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa  (UPT Jeneberang),1.0,mirip,0.7187704381948986,0,0,0
754,675,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.7817074182499141,0,0,0
754,753,1.0,Belanja Perjalanan Dinas Biasa (UPT Jeneberang),Belanja Perjalanan Dinas Biasa (UPT Jeneberang),1.0,mirip,0.8332376712222516,0,0,0
762,1281,0.8226210848565879,"Belanja Perjalanan Dinas Biasa Dalam Rangka Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya (Bidang PSP)","Belanja Perjalanan Dinas Biasa Koordinasi, Identifikasi, Verifikasi, Monitoring dan Kedinasan Lainnya",0.8935726509139528,mirip,0.7796095655985583,0,0,0
764,1031,1.0,Belanja Perjalanan Dinas Biasa - UPTD V,Belanja Perjalanan Dinas Biasa - UPTD V,1.0,mirip,0.5712042750701808,0,0,0
770,1275,1.0,Belanja Perjalanan Dinas Biasa (Perjalanan Dinas Dalam Daerah Golongan III - Sedang),Belanja Perjalanan Dinas Biasa (Perjalanan Dinas Dalam Daerah Golongan III - sedang),1.0,mirip,0.7242922374429224,0,0,0
